event_date,user_id,gender,age,os,views,likes
2025-02-21,76142,0,21,Android,28,10
2025-02-21,7360,0,33,Android,42,9
2025-02-21,116080,0,44,Android,32,10
2025-02-21,57645,0,43,Android,36,6
2025-02-21,108129,0,26,iOS,66,12
2025-02-21,108354,1,24,Android,10,3
2025-02-21,156589,1,29,iOS,28,9
2025-02-21,54692,1,18,Android,27,7
2025-02-21,143134,0,43,iOS,11,2
2025-02-21,78295,1,16,Android,18,1
2025-02-21,73959,0,40,Android,27,6
2025-02-21,65990,1,32,iOS,37,7
2025-02-21,79372,0,27,iOS,14,2
2025-02-21,155084,1,16,Android,50,18
2025-02-21,149392,0,26,Android,22,6
2025-02-21,82765,0,42,iOS,51,8
2025-02-21,131565,1,28,Android,34,12
2025-02-21,18289,1,21,Android,37,9
2025-02-21,57984,1,15,Android,27,0
2025-02-21,162895,1,19,Android,46,9
2025-02-21,131108,0,38,Android,27,4
2025-02-21,166432,0,58,iOS,33,2
2025-02-21,133433,1,19,iOS,31,3
2025-02-21,58251,1,15,Android,16,5
2025-02-21,143575,0,36,Android,37,8
2025-02-21,76903,1,38,iOS,38,13
2025-02-21,73363,0,27,iOS,30,4
2025-02-21,80300,1,18,Android,11,1
2025-02-21,78797,1,15,Android,46,13
2025-02-21,81605,0,21,Android,44,16
2025-02-21,50319,0,19,iOS,29,4
2025-02-21,155767,1,49,Android,41,5
2025-02-21,19252,1,25,Android,46,11
2025-02-21,147265,1,21,iOS,27,7
2025-02-21,82591,0,21,Android,34,9
2025-02-21,157698,1,15,Android,117,16
2025-02-21,121037,0,18,Android,31,7
2025-02-21,148859,0,41,Android,38,3
2025-02-21,29005,1,23,iOS,24,3
2025-02-21,57032,0,25,iOS,16,2
2025-02-21,82902,1,15,Android,47,8
2025-02-21,57972,1,30,Android,15,3
2025-02-21,128127,1,22,iOS,20,4
2025-02-21,116889,0,17,iOS,35,9
2025-02-21,165292,0,19,Android,14,1
2025-02-21,76668,0,25,Android,28,11
2025-02-21,137483,1,21,iOS,87,15
2025-02-21,124576,1,43,Android,12,2
2025-02-21,64616,0,27,Android,31,8
2025-02-21,110027,0,19,iOS,31,3
2025-02-21,30274,0,15,Android,33,7
2025-02-21,137867,1,35,Android,15,2
2025-02-21,126158,0,21,iOS,19,8
2025-02-21,125566,1,31,iOS,37,7
2025-02-21,58518,0,57,Android,45,10
2025-02-21,75383,1,17,Android,17,3
2025-02-21,79672,1,19,iOS,12,4
2025-02-21,167143,1,20,Android,28,8
2025-02-21,164335,0,14,Android,14,4
2025-02-21,74517,0,24,iOS,40,6
2025-02-21,126677,1,32,iOS,24,5
2025-02-21,153110,0,41,Android,9,4
2025-02-21,82115,1,28,Android,13,4
2025-02-21,76842,0,23,Android,92,18
2025-02-21,106898,1,24,Android,18,5
2025-02-21,55153,0,25,Android,32,5
2025-02-21,79959,1,15,Android,40,5
2025-02-21,64530,0,22,Android,61,9
2025-02-21,139902,1,48,Android,50,5
2025-02-21,17689,1,20,Android,33,8
2025-02-21,70277,0,20,Android,34,7
2025-02-21,75948,1,35,iOS,30,5
2025-02-21,158609,1,25,iOS,51,5
2025-02-21,3453,1,23,Android,53,12
2025-02-21,78035,1,29,Android,17,3
