event_date,user_id,gender,age,os,views,likes
2025-02-24,122029,0,23,Android,28,11
2025-02-24,36547,0,30,Android,18,5
2025-02-24,84951,0,52,iOS,38,6
2025-02-24,156336,1,19,iOS,71,9
2025-02-24,151286,1,57,Android,8,2
2025-02-24,7406,0,23,Android,20,2
2025-02-24,85394,0,19,Android,60,8
2025-02-24,134222,0,41,iOS,49,5
2025-02-24,84419,1,25,iOS,14,1
2025-02-24,127400,1,19,Android,48,5
2025-02-24,143483,0,17,Android,20,3
2025-02-24,79709,1,23,Android,29,9
2025-02-24,141201,1,25,Android,29,9
2025-02-24,75958,0,16,Android,92,17
2025-02-24,79599,0,17,Android,45,6
2025-02-24,10414,1,30,iOS,24,7
2025-02-24,4425,0,26,iOS,33,8
2025-02-24,66628,1,22,Android,60,11
2025-02-24,79675,0,19,iOS,81,18
2025-02-24,122635,0,17,iOS,39,9
2025-02-24,110136,0,21,iOS,45,12
2025-02-24,155749,0,28,Android,12,2
2025-02-24,84120,1,20,Android,53,8
2025-02-24,84672,0,17,Android,63,12
2025-02-24,80795,1,41,Android,14,2
2025-02-24,23036,1,15,Android,60,8
2025-02-24,164088,1,31,Android,14,2
2025-02-24,7880,1,19,Android,68,13
2025-02-24,25185,1,28,Android,37,9
2025-02-24,122274,0,27,Android,51,7
2025-02-24,81598,1,25,iOS,61,9
2025-02-24,35459,0,17,Android,22,5
2025-02-24,123309,1,19,Android,20,3
2025-02-24,134865,0,47,Android,28,4
2025-02-24,148245,1,24,iOS,72,15
2025-02-24,167280,0,37,Android,18,3
2025-02-24,121528,0,17,iOS,14,8
2025-02-24,66639,1,20,iOS,28,7
2025-02-24,22993,0,23,iOS,22,4
2025-02-24,163623,1,23,iOS,14,1
2025-02-24,71287,0,15,iOS,38,8
2025-02-24,161351,0,31,Android,52,10
2025-02-24,64965,0,30,Android,19,6
2025-02-24,154976,1,37,Android,45,11
2025-02-24,111323,1,30,Android,12,2
2025-02-24,70237,0,16,Android,35,9
2025-02-24,137530,1,18,iOS,57,6
2025-02-24,29665,0,16,iOS,56,14
2025-02-24,18908,0,20,iOS,15,3
2025-02-24,84142,0,63,Android,16,2
2025-02-24,85431,0,29,iOS,75,26
2025-02-24,75668,0,17,Android,15,1
2025-02-24,58137,1,22,iOS,26,9
2025-02-24,154659,0,15,Android,12,2
2025-02-24,150525,0,20,iOS,31,9
2025-02-24,168323,1,31,Android,15,4
2025-02-24,72477,1,22,Android,23,6
2025-02-24,163781,0,35,Android,9,1
2025-02-24,144849,0,22,iOS,14,3
2025-02-24,81500,1,25,Android,44,6
2025-02-24,72401,0,17,Android,12,3
2025-02-24,73850,1,40,Android,24,5
2025-02-24,85321,1,19,iOS,36,5
2025-02-24,4492,1,58,iOS,12,1
2025-02-24,80423,0,19,Android,13,3
2025-02-24,12397,1,29,Android,12,5
2025-02-24,157930,0,15,Android,31,6
2025-02-24,151585,1,36,Android,12,1
2025-02-24,112066,0,36,Android,37,5
2025-02-24,122022,0,22,Android,45,9
2025-02-24,147264,1,15,iOS,15,1
2025-02-24,153322,1,20,iOS,13,2
2025-02-24,82574,1,42,Android,28,12
2025-02-24,120572,1,14,Android,49,6
2025-02-24,125279,1,19,Android,31,2
2025-02-24,156540,0,16,Android,17,1
2025-02-24,16504,1,33,Android,17,2
2025-02-24,106507,0,26,iOS,32,8
2025-02-24,25254,1,17,iOS,72,8
2025-02-24,80542,1,21,Android,73,9
2025-02-24,32066,1,17,Android,51,6
2025-02-24,108994,1,17,Android,10,2
2025-02-24,123696,1,55,iOS,45,7
2025-02-24,83818,0,42,Android,16,4
2025-02-24,78058,1,19,Android,32,4
2025-02-24,23839,0,16,Android,19,4
2025-02-24,141105,0,27,Android,19,6
2025-02-24,73751,0,19,iOS,40,7
2025-02-24,59207,1,15,iOS,39,15
2025-02-24,69670,0,37,Android,73,17
2025-02-24,80705,1,15,iOS,8,3
2025-02-24,157414,1,17,Android,27,3
2025-02-24,139067,0,24,Android,53,13
2025-02-24,64008,0,23,Android,39,9
2025-02-24,162226,1,24,iOS,31,2
2025-02-24,82704,1,17,Android,45,5
2025-02-24,76470,0,25,Android,19,3
2025-02-24,16037,1,22,Android,26,11
2025-02-24,74534,0,30,iOS,41,5
2025-02-24,23702,0,19,Android,79,14
2025-02-24,158563,0,20,iOS,21,3
2025-02-24,85527,0,39,iOS,69,16
2025-02-24,11595,1,36,Android,51,14
2025-02-24,73750,1,44,Android,23,3
2025-02-24,4149,0,33,Android,29,5
2025-02-24,7134,0,45,Android,38,6
2025-02-24,78111,1,50,Android,44,8
2025-02-24,111378,1,17,iOS,29,4
2025-02-24,26482,0,31,Android,35,8
2025-02-24,148079,0,21,Android,12,3
2025-02-24,77495,1,30,Android,30,2
2025-02-24,85354,1,39,iOS,91,19
2025-02-24,57396,1,42,iOS,24,7
2025-02-24,137389,1,15,Android,68,24
2025-02-24,148289,0,15,iOS,79,17
2025-02-24,130055,1,21,Android,26,5
2025-02-24,149123,0,29,iOS,12,1
2025-02-24,129161,0,22,iOS,47,12
2025-02-24,166164,1,29,iOS,22,4
2025-02-24,113753,0,28,Android,30,3
2025-02-24,85724,1,30,Android,61,10
2025-02-24,37411,1,32,iOS,34,7
2025-02-24,148513,1,24,iOS,40,8
2025-02-24,33017,0,31,iOS,18,6
2025-02-24,124085,0,17,Android,81,16
2025-02-24,120786,0,17,Android,18,4
2025-02-24,134721,0,41,Android,58,7
2025-02-24,23958,0,18,Android,38,8
2025-02-24,139737,0,24,iOS,29,7
2025-02-24,33362,1,33,Android,47,19
2025-02-24,142751,1,18,Android,43,5
2025-02-24,124145,1,36,Android,46,10
2025-02-24,77643,1,29,Android,23,6
2025-02-24,107329,1,20,Android,14,1
2025-02-24,122892,0,33,Android,17,3
2025-02-24,57767,0,34,iOS,12,1
2025-02-24,143048,0,27,Android,63,10
2025-02-24,8808,1,20,Android,16,1
2025-02-24,25333,1,22,Android,30,0
2025-02-24,36696,0,24,Android,39,4
2025-02-24,80752,1,19,Android,12,5
2025-02-24,55653,0,26,Android,26,3
2025-02-24,156450,1,51,Android,28,7
2025-02-24,36459,1,15,Android,51,11
2025-02-24,62957,1,17,Android,72,11
2025-02-24,22744,1,27,iOS,54,5
2025-02-24,114558,1,40,Android,34,9
