event_date,user_id,age,gender,os,messages_sent,messages_received,users_received,users_sent
2025-02-20,127967,19,0,iOS,5,0,0,5
2025-02-20,5014,39,1,Android,8,1,1,2
2025-02-20,127606,47,0,Android,9,0,0,2
2025-02-20,125450,21,1,Android,12,2,1,12
2025-02-20,1104,33,0,Android,1,2,1,1
2025-02-20,9209,38,1,Android,2,3,1,2
2025-02-20,123881,20,1,Android,1,3,1,1
2025-02-20,109529,17,1,iOS,4,1,1,4
2025-02-20,123751,28,1,iOS,10,0,0,10
2025-02-20,10574,34,0,Android,11,0,0,2
2025-02-20,18156,16,0,iOS,6,4,1,2
2025-02-20,117787,37,1,Android,6,5,1,2
2025-02-20,121076,21,0,iOS,8,0,0,8
2025-02-20,127927,36,1,Android,2,0,0,1
2025-02-20,124760,26,1,iOS,1,5,1,1
2025-02-20,118142,32,1,iOS,2,8,1,2
2025-02-20,11264,20,0,iOS,12,0,0,12
2025-02-20,6571,25,0,iOS,13,25,1,13
2025-02-20,22358,38,1,iOS,3,0,0,2
2025-02-20,112125,20,0,Android,7,5,1,7
2025-02-20,123204,15,0,iOS,12,0,0,2
2025-02-20,118272,30,0,Android,10,0,0,8
2025-02-20,113691,22,0,Android,5,1,1,5
2025-02-20,17598,16,0,iOS,7,0,0,7
2025-02-20,19608,21,0,Android,6,0,0,6
2025-02-20,22080,25,1,Android,1,4,1,1
2025-02-20,23205,23,0,Android,13,11,1,13
2025-02-20,126836,36,0,iOS,5,17,1,2
2025-02-20,14949,21,0,iOS,3,4,1,3
2025-02-20,20984,28,1,iOS,5,8,1,5
2025-02-20,125515,60,0,iOS,4,0,0,2
2025-02-20,14926,17,1,Android,3,6,1,3
2025-02-20,19740,54,0,Android,9,0,0,2
2025-02-20,2455,22,0,Android,4,1,1,4
2025-02-20,7762,49,0,Android,4,0,0,2
2025-02-20,7145,26,1,Android,5,7,1,4
2025-02-20,125703,30,0,Android,6,1,1,5
2025-02-20,11226,23,0,iOS,4,9,1,4
2025-02-20,111742,25,0,iOS,9,0,0,9
2025-02-20,15252,32,0,iOS,6,3,1,5
2025-02-20,128885,20,0,Android,4,308,1,4
2025-02-20,123206,17,0,iOS,18,4,1,14
2025-02-20,21474,28,0,Android,10,22,1,10
2025-02-20,128760,20,0,iOS,5,7,1,5
2025-02-20,121546,20,0,iOS,2,5,1,2
2025-02-20,126168,20,0,iOS,3,10,1,3
2025-02-20,16757,46,1,iOS,5,0,0,2
2025-02-20,129248,35,0,Android,7,1,1,2
2025-02-20,113894,32,1,Android,2,3,1,1
2025-02-20,129336,49,0,Android,9,2,1,2
2025-02-20,112661,17,0,Android,5,2,1,5
2025-02-20,123147,24,1,iOS,11,12,1,10
2025-02-20,8608,21,0,iOS,6,5,1,6
2025-02-20,23364,24,1,iOS,10,0,0,10
2025-02-20,17173,14,0,iOS,4,0,0,2
2025-02-20,110688,32,0,iOS,5,0,0,5
2025-02-20,22127,22,0,iOS,5,24,1,5
2025-02-20,122738,26,1,Android,9,0,0,8
2025-02-20,127756,34,0,Android,10,8,1,4
2025-02-20,7501,38,1,Android,4,4,1,2
2025-02-20,122371,42,1,iOS,11,1,1,2
2025-02-20,124821,22,0,Android,5,0,0,5
2025-02-20,124005,32,1,Android,15,9,1,12
2025-02-20,22521,38,0,Android,1,3,1,1
2025-02-20,16863,20,0,Android,4,5,1,4
2025-02-20,121088,16,0,Android,9,0,0,8
2025-02-20,122154,28,1,Android,1,0,0,1
2025-02-20,11155,17,0,Android,10,13,1,9
2025-02-20,107520,20,0,Android,10,1,1,10
2025-02-20,16447,19,0,iOS,5,110,1,5
2025-02-20,126697,39,0,iOS,6,3,1,2
2025-02-20,23123,24,1,Android,8,10,1,8
2025-02-20,17791,31,1,Android,11,9,1,11
2025-02-20,119855,17,1,iOS,5,2,1,5
2025-02-20,111484,18,0,Android,4,7,1,4
2025-02-20,125253,25,1,Android,5,0,0,5
2025-02-20,22656,21,1,iOS,6,16,1,6
2025-02-20,117460,50,1,Android,3,0,0,2
2025-02-20,2545,17,1,Android,4,4,1,3
2025-02-20,109499,23,0,Android,8,15,1,8
2025-02-20,4081,16,0,Android,6,4,1,4
2025-02-20,17319,18,0,Android,3,1,1,3
2025-02-20,129212,18,1,Android,11,15,1,10
2025-02-20,22023,33,0,Android,1,5,1,1
2025-02-20,18538,17,1,iOS,6,6,1,6
2025-02-20,125689,23,1,Android,5,8,1,5
2025-02-20,10590,28,1,Android,8,7,1,8
2025-02-20,22924,22,0,iOS,8,12,1,8
2025-02-20,12019,32,0,Android,8,3,1,5
2025-02-20,18682,23,0,iOS,6,11,1,6
2025-02-20,120748,29,0,iOS,2,9,1,2
2025-02-20,23007,31,1,Android,4,0,0,4
2025-02-20,8236,36,1,Android,10,1,1,3
2025-02-20,18186,59,0,Android,7,0,0,2
2025-02-20,118070,29,0,iOS,2,3,1,2
2025-02-20,116141,15,0,iOS,7,0,0,4
2025-02-20,116588,17,0,iOS,22,3,1,20
2025-02-20,123716,51,1,iOS,11,0,0,4
2025-02-20,10154,24,0,Android,7,2,1,7
2025-02-20,18849,37,0,iOS,7,8,1,2
2025-02-20,127788,21,1,Android,4,13,1,4
2025-02-20,125086,42,0,Android,4,1,1,2
2025-02-20,18152,34,1,iOS,6,5,1,2
2025-02-20,119590,20,0,Android,6,8,1,6
2025-02-20,22670,37,0,Android,6,5,1,2
2025-02-20,128843,45,0,iOS,7,0,0,2
2025-02-20,120962,31,1,Android,8,0,0,8
2025-02-20,10361,31,0,Android,4,12,1,3
2025-02-20,21301,34,0,Android,17,3,1,4
2025-02-20,121124,21,1,Android,1,0,0,1
2025-02-20,128688,20,0,Android,5,4,1,5
2025-02-20,16719,22,1,iOS,19,29,1,19
2025-02-20,18886,23,1,Android,9,1,1,9
2025-02-20,123083,21,0,iOS,7,0,0,7
2025-02-20,120838,17,1,iOS,11,9,1,11
2025-02-20,120765,18,0,iOS,11,4,1,11
2025-02-20,124045,33,1,iOS,8,0,0,5
2025-02-20,110088,25,0,iOS,1,0,0,1
2025-02-20,111511,56,0,Android,6,0,0,2
2025-02-20,23169,22,0,iOS,10,3,1,9
2025-02-20,111985,16,0,iOS,5,0,0,3
2025-02-20,120754,15,1,Android,5,11,1,3
2025-02-20,124273,23,0,Android,1,1,1,1
2025-02-20,117395,18,0,iOS,3,12,1,3
2025-02-20,124493,37,0,iOS,6,2,1,2
2025-02-20,15209,14,1,Android,6,2,1,4
2025-02-20,123333,20,1,iOS,7,0,0,5
2025-02-20,126907,19,0,Android,5,2,1,5
2025-02-20,114735,18,1,Android,6,0,0,5
2025-02-20,16131,26,1,iOS,1,0,0,1
2025-02-20,118295,22,0,Android,2,12,1,2
2025-02-20,122620,45,1,Android,1,0,0,1
2025-02-20,108315,30,0,iOS,8,9,1,8
2025-02-20,115365,16,0,Android,5,0,0,3
2025-02-20,6237,41,0,Android,10,0,0,2
2025-02-20,110498,24,1,Android,10,7,1,10
2025-02-20,121726,17,1,Android,5,0,0,5
2025-02-20,123559,62,0,Android,6,0,0,2
2025-02-20,114442,16,0,Android,7,0,0,3
2025-02-20,9759,40,1,Android,4,5,1,2
2025-02-20,124316,31,1,Android,8,16,1,7
2025-02-20,12068,37,1,Android,6,0,0,2
2025-02-20,128665,18,1,iOS,5,1,1,5
2025-02-20,23065,20,1,iOS,5,6,1,5
2025-02-20,118159,25,1,iOS,5,1,1,5
2025-02-20,15850,22,0,Android,4,17,1,4
2025-02-20,7928,25,1,iOS,7,0,0,7
2025-02-20,126949,54,0,iOS,6,0,0,2
2025-02-20,23080,17,0,Android,5,0,0,5
2025-02-20,13061,21,0,Android,5,0,0,5
2025-02-20,121230,57,0,Android,1,0,0,1
2025-02-20,16321,23,1,iOS,4,0,0,4
2025-02-20,10111,29,1,Android,4,8,1,4
2025-02-20,10110,34,0,Android,7,8,1,1
2025-02-20,128966,43,1,iOS,2,3,1,1
2025-02-20,17276,20,0,Android,10,0,0,10
2025-02-20,128854,16,1,Android,4,0,0,4
2025-02-20,22494,26,1,iOS,6,6,1,6
2025-02-20,108740,14,1,Android,9,1,1,2
2025-02-20,10853,18,0,Android,7,5,1,6
2025-02-20,296,23,1,iOS,2,0,0,2
2025-02-20,115070,38,1,Android,5,19,1,2
2025-02-20,119584,32,1,iOS,8,4,1,7
2025-02-20,19835,37,1,Android,8,2,1,2
2025-02-20,116742,43,1,iOS,4,0,0,2
2025-02-20,121402,47,0,Android,8,0,0,1
2025-02-20,17850,29,0,Android,7,22,1,5
2025-02-20,14373,26,1,Android,1,0,0,1
2025-02-20,111109,27,1,Android,3,0,0,3
2025-02-20,121640,31,1,Android,5,0,0,5
2025-02-20,124723,20,1,iOS,8,2,1,8
2025-02-20,15592,22,0,Android,8,0,0,8
2025-02-20,18208,43,1,iOS,7,2,1,2
2025-02-20,125252,48,0,iOS,4,0,0,1
2025-02-20,128784,36,0,iOS,7,0,0,2
2025-02-20,121724,15,1,Android,4,2,1,4
2025-02-20,107444,20,1,Android,6,14,1,6
2025-02-20,114245,25,1,Android,11,11,1,11
2025-02-20,128782,36,0,Android,6,2,1,2
2025-02-20,22280,31,0,Android,8,0,0,5
2025-02-20,15739,22,0,Android,7,9,1,7
2025-02-20,124851,27,1,iOS,7,6,1,7
2025-02-20,21647,18,1,iOS,7,5,1,7
2025-02-20,15677,21,0,iOS,11,7,1,11
2025-02-20,120323,17,0,Android,3,13,1,3
2025-02-20,118934,27,1,Android,4,6,1,4
2025-02-20,119723,22,1,iOS,3,14,1,3
2025-02-20,12052,27,1,Android,4,10,1,4
2025-02-20,107900,45,1,iOS,3,224,1,2
2025-02-20,20769,14,1,Android,4,0,0,2
2025-02-20,2683,38,0,Android,6,5,1,2
2025-02-20,17711,22,1,Android,7,7,1,6
2025-02-20,129041,20,0,Android,2,3,1,2
2025-02-20,19029,14,0,Android,6,0,0,2
2025-02-20,16490,25,0,iOS,5,16,1,4
2025-02-20,19423,25,0,Android,2,11,1,2
2025-02-20,124078,22,0,Android,6,3,1,6
2025-02-20,116225,30,0,Android,8,0,0,7
2025-02-20,127811,39,0,Android,4,1,1,2
2025-02-20,23118,37,1,iOS,7,1,1,2
2025-02-20,121736,30,0,Android,4,9,1,4
2025-02-20,3188,17,1,iOS,6,0,0,5
2025-02-20,122071,27,0,iOS,8,19,1,8
2025-02-20,126098,18,0,iOS,7,0,0,6
2025-02-20,127501,21,1,iOS,6,1,1,6
2025-02-20,10206,20,0,Android,8,1,1,8
2025-02-20,113625,24,1,Android,9,4,1,9
2025-02-20,129486,17,0,iOS,6,3,1,6
2025-02-20,22960,26,1,Android,7,16,1,7
2025-02-20,122213,23,0,Android,10,8,1,9
2025-02-20,120918,47,0,iOS,6,0,0,2
2025-02-20,114602,27,1,iOS,7,5,1,7
2025-02-20,116237,48,1,iOS,8,0,0,2
2025-02-20,16817,19,1,iOS,7,4,1,5
2025-02-20,21922,19,0,Android,8,0,0,8
2025-02-20,3343,41,0,Android,8,0,0,2
2025-02-20,128316,15,1,Android,8,5,1,4
2025-02-20,114084,19,1,iOS,2,6,1,2
2025-02-20,115582,26,0,Android,10,14,1,10
2025-02-20,22011,22,1,Android,12,16,1,11
2025-02-20,107687,30,0,iOS,2,1,1,2
2025-02-20,118693,20,0,iOS,7,7,1,7
2025-02-20,22889,35,0,iOS,4,8,1,1
2025-02-20,9318,31,1,Android,7,9,1,7
2025-02-20,120141,44,0,Android,9,314,1,2
2025-02-20,123534,32,1,Android,4,8,1,4
2025-02-20,121687,15,0,Android,7,0,0,2
2025-02-20,120847,25,1,Android,4,0,0,4
2025-02-20,10146,18,0,Android,3,0,0,3
2025-02-20,21303,32,1,Android,6,6,1,4
2025-02-20,6973,25,1,Android,8,5,1,8
2025-02-20,128591,23,1,Android,11,6,1,11
2025-02-20,21973,17,0,iOS,5,0,0,5
2025-02-20,128502,26,1,Android,2,5,1,2
2025-02-20,121081,33,0,Android,3,0,0,2
2025-02-20,128768,26,1,iOS,7,10,1,7
2025-02-20,16776,51,1,iOS,5,0,0,2
2025-02-20,16465,16,1,iOS,9,3,1,8
2025-02-20,107834,23,1,Android,8,7,1,7
2025-02-20,17012,22,0,iOS,6,0,0,6
2025-02-20,19571,30,1,iOS,6,9,1,6
2025-02-20,122496,18,0,Android,4,0,0,4
2025-02-20,17032,21,0,Android,7,4,1,7
2025-02-20,2699,15,0,iOS,6,7,1,3
2025-02-20,120329,32,0,Android,4,0,0,2
2025-02-20,12417,14,0,iOS,6,0,0,2
2025-02-20,16870,44,1,iOS,4,2,1,2
2025-02-20,17809,19,0,Android,3,8,1,3
2025-02-20,18856,21,1,Android,7,13,1,7
2025-02-20,127347,23,0,iOS,11,5,1,11
2025-02-20,110493,31,1,iOS,7,0,0,6
2025-02-20,14652,28,0,Android,9,12,1,9
2025-02-20,23319,59,0,Android,2,0,0,2
2025-02-20,119158,29,0,iOS,10,0,0,8
2025-02-20,113154,19,1,Android,7,3,1,7
2025-02-20,20242,20,0,Android,1,5,1,1
2025-02-20,14429,24,0,Android,4,0,0,4
2025-02-20,14837,27,1,iOS,9,10,1,8
2025-02-20,117750,18,1,iOS,4,7,1,4
2025-02-20,20820,19,0,iOS,3,2,1,3
2025-02-20,22966,14,0,Android,13,9,1,4
2025-02-20,22842,33,0,iOS,3,3,1,2
2025-02-20,110883,20,0,Android,7,11,1,7
2025-02-20,22947,55,1,iOS,5,0,0,2
2025-02-20,19717,15,1,iOS,6,4,1,6
2025-02-20,17783,26,1,Android,2,3,1,2
2025-02-20,124022,21,0,Android,10,5,1,10
2025-02-20,121834,32,1,iOS,5,14,1,4
2025-02-20,128978,40,0,iOS,7,0,0,2
2025-02-20,16850,18,1,Android,2,3,1,2
2025-02-20,121386,39,1,Android,5,0,0,2
2025-02-20,19362,22,1,Android,9,1,1,9
2025-02-20,22592,27,1,iOS,7,11,1,7
2025-02-20,115496,21,1,Android,2,6,1,2
2025-02-20,17542,22,1,Android,7,28,1,7
2025-02-20,22999,20,0,Android,3,6,1,3
2025-02-20,129482,31,0,Android,6,4,1,5
2025-02-20,119391,37,1,Android,5,2,1,2
2025-02-20,16479,18,1,iOS,10,14,1,10
2025-02-20,15326,20,1,Android,11,11,1,11
2025-02-20,3416,25,0,Android,10,1,1,10
2025-02-20,120915,20,1,iOS,8,5,1,8
2025-02-20,128731,17,1,iOS,5,3,1,5
2025-02-20,14721,15,1,Android,1,8,1,1
2025-02-20,108913,30,1,iOS,4,1,1,4
2025-02-20,13583,29,0,Android,6,0,0,6
2025-02-20,122103,16,0,Android,3,1,1,1
2025-02-20,15934,29,1,Android,14,7,1,14
2025-02-20,126367,22,1,iOS,4,0,0,4
2025-02-20,108643,19,1,Android,6,3,1,5
2025-02-20,114493,50,1,Android,13,2,1,2
2025-02-20,110002,27,1,Android,10,6,1,9
2025-02-20,17621,21,0,Android,4,0,0,4
2025-02-20,125872,18,1,iOS,8,8,1,7
2025-02-20,19120,17,1,Android,0,2,1,0
2025-02-20,21546,21,0,Android,9,11,1,9
